archivo,inicio_s,fin_s,clase,theta_AF3,alpha_AF3,beta_AF3,alpha_beta_AF3,theta_T7,alpha_T7,beta_T7,alpha_beta_T7,theta_Pz,alpha_Pz,beta_Pz,alpha_beta_Pz,theta_T8,alpha_T8,beta_T8,alpha_beta_T8,theta_AF4,alpha_AF4,beta_AF4,alpha_beta_AF4,theta_prom,alpha_prom,beta_prom,alpha_beta_prom
3 (1).edf,100,110,1,2.519596408658076e-11,7.797232961894717e-12,5.502025290311333e-12,1.4171568741468852,1.8750246974294235e-11,9.404239722007135e-12,6.841893697719041e-12,1.3745083068365023,1.8649014589862056e-11,5.825131451303633e-12,4.776371764894393e-12,1.219572457512094,1.4680141494013295e-11,8.346146592827492e-12,5.729876352055923e-12,1.456601518082119,2.732382819411041e-11,8.354683458100623e-12,5.930773183752347e-12,1.4087005520610199,2.091983906777215e-11,7.945486837226719e-12,5.756188057746607e-12,1.380338299846507
3 (1).edf,105,115,1,1.7472663726703634e-11,7.1391170082904216e-12,4.284419845993153e-12,1.6662972502489501,1.167039470667945e-11,1.1255102232924903e-11,6.340451902407066e-12,1.7751261907139548,1.629934046857955e-11,7.512653878016075e-12,3.7237187896325115e-12,2.0175137550484816,1.2048190255809687e-11,6.90215245051087e-12,4.794653807634211e-12,1.4395517856828428,2.3177617098780127e-11,8.561216274571678e-12,4.985041200988925e-12,1.7173812470944707,1.613364125131049e-11,8.274048368862791e-12,4.825657109331173e-12,1.7145951694047235
3 (1).edf,110,120,1,7.397993341927194e-11,2.2378749084315014e-11,5.0770105500324506e-12,4.407859480254966,2.4744810599478548e-11,1.2950910520054663e-11,8.269233555016737e-12,1.566156093414204,1.481061117166746e-11,1.0543001696131823e-11,3.3183835895002745e-12,3.177149781445106,1.3449500346416263e-11,1.027934907169077e-11,3.7773832937362585e-12,2.721288329075902,6.61609614546619e-11,2.116676370529658e-11,4.297147363641138e-12,4.925770962474316,3.862916339829923e-11,1.5463754815497772e-11,4.947831670385372e-12,3.125359924440062
3 (1).edf,115,125,1,3.6720668849046035e-11,1.1304495612612509e-11,8.533469583632058e-12,1.3247244279507975,1.3414182872779678e-10,1.0667411141605406e-10,2.028562259412338e-11,5.258606726073908,3.523071389652727e-11,1.059392632070775e-11,3.7365526800758155e-12,2.835213959968255,1.7621164450528954e-11,6.165234041115657e-12,5.4799841760802e-12,1.1250459568891698,6.62748284827606e-11,1.6795904074373606e-11,8.658122262408476e-12,1.9399014665451721,5.799784088133193e-11,3.0306734292972715e-11,9.338750259263986e-12,3.2452665990193506
3 (1).edf,120,130,1,5.7491333111030664e-11,1.1403252345039979e-11,4.642655006954437e-12,2.456192055614416,2.0990431794847085e-11,1.2212865741974193e-11,6.8062978171207934e-12,1.7943478334511802,1.2795759484851982e-11,8.409839771644415e-12,3.6379004397911044e-12,2.3117289521335347,1.137307255031446e-11,8.093681926507291e-12,4.256572395534965e-12,1.9014552495330175,5.439151388987977e-11,1.3797244126307414e-11,4.546702678678981e-12,3.034560449929426,3.140842216618479e-11,1.078337678229466e-11,4.7780256676160555e-12,2.2568687429581997
3 (1).edf,125,135,1,2.992538231403875e-11,1.2931453477911625e-11,5.5929464956159225e-12,2.3121003371028226,3.250525463025819e-11,1.7464860277523065e-11,7.596951960723177e-12,2.298929935034173,2.335801196374476e-11,8.505848278618217e-12,5.105227919753814e-12,1.6661054927060708,1.980871540420297e-11,9.219222626602229e-12,6.0362132474720335e-12,1.5273189081686669,3.0988972900174224e-11,1.0918560068009974e-11,5.627968302860572e-12,1.940053582473148,2.731726744248378e-11,1.1807988945733023e-11,5.9918615852851035e-12,1.9706711808449056
3 (1).edf,130,140,1,8.381788338779967e-11,2.5186392871010183e-11,5.9899798449159725e-12,4.204754193352966,2.4170170825064523e-11,1.4090902425579826e-11,6.519045380681542e-12,2.161497827172155,2.169094763871138e-11,1.1779036297007506e-11,4.912984781999028e-12,2.3975316064819507,1.6855706169261843e-11,1.2158751843049838e-11,5.542187498341559e-12,2.193854294299537,6.617910195224769e-11,2.631383457826029e-11,5.796396043672832e-12,4.539688865287882,4.254276199461702e-11,1.790578360298153e-11,5.752118709922186e-12,3.1129023071263693
3 (1).edf,135,145,1,6.768663852801704e-11,2.1316317960984076e-11,4.3401267423388545e-12,4.911450569643251,1.2885989293600057e-11,1.391622619162605e-11,5.910551238365814e-12,2.3544717963520596,1.650638939725341e-11,9.393287993489656e-12,3.783922911331916e-12,2.482420549678503,1.3850963957890778e-11,9.709811114620762e-12,4.828663948850459e-12,2.0108690970164402,6.133200158625424e-11,2.1652335380013696e-11,4.40131056450031e-12,4.9195200072122,3.44523965526031e-11,1.5197595728146848e-11,4.65291508107747e-12,3.2662525456251306
3 (1).edf,140,150,1,2.4209160570367185e-11,7.0613513307551495e-12,4.1694792421657475e-12,1.6935811214369496,1.507917388594922e-11,8.976102752298405e-12,6.267316791056511e-12,1.4322082402324618,1.475719374348333e-11,5.303063045782153e-12,4.052843727215849e-12,1.3084795276390184,1.172387966050636e-11,5.246273833496943e-12,4.722560437990664e-12,1.1108960705496247,2.5587260166635e-11,7.07844712593427e-12,4.465140837005908e-12,1.5852685020078132,1.827133360538822e-11,6.733047617653384e-12,4.735468207086935e-12,1.4218335596841176
3 (1).edf,145,155,1,2.0858751976465157e-11,7.310388272828626e-12,4.206157975480099e-12,1.7380203776093799,1.656252304035801e-11,1.039189287353003e-11,6.19216308361931e-12,1.6782330719002936,1.576622918100986e-11,8.714662339791179e-12,3.7751949783141636e-12,2.30840059648595,1.5028242885704014e-11,6.436681594439328e-12,4.14205551923137e-12,1.55398245256591,2.5082754630057914e-11,7.22899542329244e-12,4.3012346725678896e-12,1.680679147640331,1.8659700342718988e-11,8.01652410077632e-12,4.523361245842566e-12,1.7722493661421206
3 (1).edf,150,160,1,6.332223173889397e-11,2.101390676015512e-11,4.550126321143762e-12,4.618312828482719,2.6600256869768455e-11,1.4450763623801384e-11,8.689916613589626e-12,1.6629346708808144,1.5757798451206753e-11,6.4734767528220585e-12,3.824577896611144e-12,1.6925990077383526,1.6047793726501728e-11,8.234270867745157e-12,4.4764798927913995e-12,1.839452218026274,6.101135470066954e-11,2.208406137600201e-11,4.774537249849188e-12,4.625382570153699,3.6547887097408085e-11,1.4451295876105147e-11,5.263127594797024e-12,2.7457620237805522
3 (1).edf,155,165,1,1.4688651180419452e-11,8.354467326110467e-12,3.973591548178439e-12,2.1024977592224583,2.4769129131261757e-11,1.2434183694518125e-11,7.35267171628597e-12,1.6911109558960373,1.6200958262911086e-11,1.0094650891562036e-11,3.821799853077315e-12,2.6413342612470454,1.0310671660554994e-11,8.644150085821465e-12,4.2510167053515705e-12,2.033431220098339,1.614369299274342e-11,1.0542512940901984e-11,4.584282568605257e-12,2.2997083585337292,1.6422620645578143e-11,1.0013992987782816e-11,4.7966724782997105e-12,2.0876958001794828
3 (1).edf,160,170,1,8.771556494087861e-11,2.0444969750247996e-11,5.020233363143046e-12,4.072513819845199,2.013332995979338e-11,9.393396218120739e-12,6.083271155683922e-12,1.5441357088519705,1.8765949833042597e-11,7.078861615081331e-12,4.379886823592944e-12,1.6162202130315189,1.7944060707469163e-11,7.110966096422527e-12,4.680234986411836e-12,1.51936091180632,8.38477330893045e-11,2.1952301817751128e-11,4.752962809478858e-12,4.618656340834719,4.568132770609766e-11,1.3196099099524745e-11,4.983317827662121e-12,2.648054881483563
3 (1).edf,165,175,1,1.915370167528573e-11,8.9021222016504e-12,4.0795357534181185e-12,2.182140993418573,1.497432765729509e-11,1.1075897603742161e-11,6.760234714841004e-12,1.6383895043506131,1.3470260214548223e-11,7.95742318523726e-12,3.472281363180312e-12,2.291698843767932,1.3278036115475761e-11,7.509673451294865e-12,4.615205071847539e-12,1.6271592127299825,2.2072395910151023e-11,9.8530421458861e-12,4.331210872109556e-12,2.274893196573245,1.6589744314551162e-11,9.059631717562157e-12,4.651693555079306e-12,1.9475985703464298
3 (1).edf,170,180,1,1.9182296986015e-11,1.093527341167138e-11,4.74371812815991e-12,2.305211464137557,1.8058763759505652e-11,8.667880862523675e-12,5.6107865172281395e-12,1.5448602145008739,2.125750978319848e-11,1.1654503561129177e-11,4.221432172162464e-12,2.760793750988793,1.9968465146732124e-11,8.735424744347434e-12,4.90286683843515e-12,1.7816973277486612,1.9770977248334737e-11,1.1102776769749037e-11,4.956144666448462e-12,2.2402043356222707,1.9647602584757197e-11,1.021917186988414e-11,4.886989664486825e-12,2.0910974999897487
3 (1).edf,175,185,1,1.1607879419073941e-10,4.8323964726167644e-11,7.14011014377543e-12,6.767957882035653,5.559908191179487e-11,3.4068759212126596e-11,6.496660689648304e-12,5.244041645335014,5.832036655482884e-11,3.7416666941330354e-11,5.961840514771545e-12,6.276026144715504,5.3577762101130247e-11,3.552667666988811e-11,6.664986642347079e-12,5.33034476680922,1.1105117434465858e-10,4.822030173667655e-11,7.45245306843162e-12,6.470393210651186,7.892543582063039e-11,4.0711273857237854e-11,6.743210211794795e-12,6.037372791082247
3 (1).edf,180,190,1,8.496065715558468e-11,4.447367128582885e-11,5.908973809930557e-12,7.52646275248113,4.336823556973348e-11,2.524586191667867e-11,8.550243515124211e-12,2.9526482926506357,4.401433397556377e-11,2.8365049902803163e-11,5.025140628468105e-12,5.644628081075244,4.4636407757120096e-11,2.4211670972847158e-11,6.146611424131238e-12,3.9390274253865387,8.229135012802724e-11,3.6244136173103685e-11,5.944062076337223e-12,6.097536618500055,5.985419691720584e-11,3.17080780502523e-11,6.315006290798267e-12,5.02106832363015
3 (1).edf,185,195,1,1.785659195916568e-11,1.1695572950058626e-11,4.653302937516365e-12,2.5133916934066995,1.6486940406097508e-11,1.0667983175212529e-11,6.684210098013128e-12,1.5959975851721915,1.4176782543020557e-11,8.051110253133273e-12,4.235623408848153e-12,1.9008088009700357,1.3163700904930441e-11,9.551564469734284e-12,5.362815996777713e-12,1.7810725699843908,2.2931245222805806e-11,1.0843912535802008e-11,4.9398474037973514e-12,2.1951918043998875,1.6923052207204e-11,1.0162028676788144e-11,5.175159968990542e-12,1.963616339915833
3 (1).edf,190,200,1,5.617601775996905e-11,1.0394612853167513e-11,4.871587103798319e-12,2.133722056424477,2.4182077864829506e-11,1.4442329626301858e-11,6.542408422143155e-12,2.2074943498514963,1.1272349367952166e-11,8.190820272607793e-12,4.5757092573210105e-12,1.790065717025771,1.0696105770407289e-11,6.519216242680046e-12,5.762852932944531e-12,1.1312480673264467,5.7197972062823384e-11,1.0841009906969266e-11,4.979350134203488e-12,2.1771937330740507,3.190490456519628e-11,1.0077597780345295e-11,5.346381570082101e-12,1.884937999326251
3 (1).edf,195,205,1,3.302514884738616e-11,8.884964297717817e-12,5.036018068813236e-12,1.764283641621565,1.5812045244368203e-11,1.271824977893996e-11,6.840032141185475e-12,1.8593845052803666,9.373451041587792e-12,7.606402835733625e-12,4.186946839510499e-12,1.8166943902786448,1.1848304163916021e-11,7.411198772407965e-12,5.075522087027081e-12,1.4601845180323065,3.7175028474856233e-11,8.137853154632653e-12,5.0306276554225314e-12,1.6176615945449335,2.144679555442288e-11,8.951733767886404e-12,5.233829358391764e-12,1.710360264904981
3 (1).edf,200,210,1,1.974667806684387e-11,8.948034114695734e-12,4.761400179820273e-12,1.879286297467543,2.5175949719761825e-11,8.173454852865391e-12,7.087206495517766e-12,1.1532689019340148,1.7424857584033355e-11,6.552780045677047e-12,3.714243513306797e-12,1.7642300571302867,1.3398608748151074e-11,7.644389498295915e-12,4.59721640025136e-12,1.6628300329473171,2.5865724197423065e-11,9.203295707110216e-12,4.961750343988035e-12,1.8548486056460904,2.0322363663242638e-11,8.10439084372886e-12,5.024363386576846e-12,1.6130184503335598
3 (1).edf,205,215,1,8.50537072836573e-11,1.4755963767352237e-11,5.080158853363139e-12,2.9046264483606796,2.0854147049006083e-11,7.695500420876419e-12,6.562117275984814e-12,1.1727160758067237,1.1927208045982143e-11,5.9843483519945355e-12,4.494724911578592e-12,1.3314159308345241,1.1158527401070496e-11,6.586263713753174e-12,5.4506569746381376e-12,1.2083430941259017,8.324156512755981e-11,1.2263119365289253e-11,5.3434003608030945e-12,2.2950029077450878,4.2447030981455165e-11,9.457039123853124e-12,5.386211675273556e-12,1.755786755887721
3 (1).edf,210,220,1,1.2642582690029439e-11,9.116360943755723e-12,5.273395868942232e-12,1.728745796887108,2.4227037909324377e-11,9.929825838827583e-12,7.380810701045037e-12,1.3453570672692683,9.278258812978902e-12,7.0881158723293185e-12,4.97074744775428e-12,1.4259658022922967,1.0545709269771335e-11,6.398322620114768e-12,5.134040108335604e-12,1.2462548957742812,1.6140205468883696e-11,1.1377261362671198e-11,5.872328946238762e-12,1.9374359758845519,1.456675883019755e-11,8.781977327539719e-12,5.7262646144631824e-12,1.5336310699576357
3 (1).edf,215,225,1,6.498810929453403e-11,1.4739907733524842e-11,4.665128916970693e-12,3.1595927992266972,1.5692571269594412e-11,7.81757160477845e-12,7.581582968826903e-12,1.031126565114681,1.6720397366837103e-11,1.0370557536867274e-11,3.939242565564662e-12,2.632627304427172,1.4305242860201756e-11,8.480419728755237e-12,4.2696312594235596e-12,1.9862182969636992,6.696363146517465e-11,1.7793858327020997e-11,5.179717840290057e-12,3.4352949090417186,3.5733990451268395e-11,1.184046298618936e-11,5.127060710215174e-12,2.3094056527550726
3 (1).edf,220,230,1,9.586549972980925e-11,1.907586974064425e-11,4.817472670544089e-12,3.9597255750471767,2.2321160292084988e-11,1.3992623701813156e-11,9.301389341148038e-12,1.504358455345134,1.6466422173692256e-11,1.0616521673064372e-11,4.639735210257579e-12,2.2881740426896013,1.2579296964466507e-11,8.759229014924818e-12,5.044975324810154e-12,1.7362283164892256,9.412457424339356e-11,1.7480864308542064e-11,4.761790126569185e-12,3.6710698800026336,4.827139068068931e-11,1.3985021687797732e-11,5.7130725346658085e-12,2.4478984999646602
3 (1).edf,225,235,1,1.2833543823031786e-11,7.946976502812456e-12,4.564282558065542e-12,1.7411228165025316,2.51351574182744e-11,1.3249263641933481e-11,8.111012171829273e-12,1.6334907852746299,8.556751614106723e-12,8.363368931553178e-12,3.9261046560647944e-12,2.1301951079256085,8.196595048737938e-12,7.820140931401913e-12,4.484523360131803e-12,1.743806488092878,1.93360049356111e-11,9.19723167221976e-12,5.041942081687667e-12,1.8241446496626976,1.4811610567952387e-11,9.315396335984158e-12,5.225572965555815e-12,1.7826554901034342
3 (1).edf,230,240,1,1.797489322350071e-11,9.342779272546546e-12,6.094571223226425e-12,1.5329674443611705,1.0504496911859632e-11,1.155409897423111e-11,8.35526647430472e-12,1.3828522417284816,8.79043238936988e-12,6.874638253552198e-12,4.857360407875199e-12,1.4153033080284514,1.0388044078173348e-11,7.071248448256184e-12,5.750480471998649e-12,1.2296795863734993,1.8744079673157166e-11,1.0069571494310138e-11,6.607161850290331e-12,1.5240388721320128,1.3280389255212148e-11,8.982467288579235e-12,6.332968085539065e-12,1.4183661068954596
3 (1).edf,235,245,1,1.7419133809969657e-10,5.3398526452798635e-11,1.544181358711875e-11,3.45804760247479,2.9054921835053236e-11,3.0120975934095157e-11,1.5858763873936962e-11,1.8993268437269177,3.090967367682826e-11,3.809454714937451e-11,1.309647493880155e-11,2.9087634136197966,3.173868274717635e-11,4.4778966912681306e-11,1.608102354879416e-11,2.784584375292397,1.8293170585508328e-10,5.459860691825951e-11,1.6145446844303366e-11,3.381672086550126,8.976526444276754e-11,4.419832467344182e-11,1.5324704558590957e-11,2.8841224641204875
3 (1).edf,240,250,1,8.72668619245684e-11,2.2785834896499413e-11,8.17326350866922e-12,2.7878502720891016,4.353850822073262e-11,1.0591010086628749e-11,1.0254535199950199e-11,1.0328123001304033,2.97333759108129e-11,9.490259372817041e-12,6.190297117416246e-12,1.5330862465577675,3.045263851452024e-11,1.3625246405726571e-11,7.876170173392394e-12,1.7299329630733407,1.1761512026727085e-10,3.184595979924099e-11,1.0637647155905406e-11,2.993703338013233,6.172130096758101e-11,1.7667662112182554e-11,8.626382631066693e-12,2.048096272538964
